"X(um)";"Z(um)"
"1891,556 ";"1011,936 "
"1894,346 ";"1012,529 "
"1897,136 ";"1013,428 "
"1899,926 ";"1013,372 "
"1902,716 ";"1013,814 "
"1905,506 ";"1018,532 "
"1908,296 ";"1020,909 "
"1911,086 ";"1021,814 "
"1913,876 ";"1021,609 "
"1916,665 ";"1019,504 "
"1919,455 ";"1022,587 "
"1922,245 ";"1022,450 "
"1925,035 ";"1028,574 "
"1927,825 ";"1030,311 "
"1930,615 ";"1027,445 "
"1933,405 ";"1026,093 "
"1936,195 ";"1029,475 "
"1938,985 ";"1035,200 "
"1941,775 ";"1057,530 "
"1944,564 ";"1079,046 "
"1947,354 ";"1098,833 "
"1950,144 ";"1115,258 "
"1952,934 ";"1130,320 "
"1955,724 ";"1142,058 "
"1958,514 ";"1152,416 "
"1961,304 ";"1154,408 "
"1964,094 ";"1158,754 "
"1966,884 ";"1159,608 "
"1969,674 ";"1158,974 "
"1972,464 ";"1157,154 "
"1975,253 ";"1153,311 "
"1978,043 ";"1156,101 "
"1980,833 ";"1155,711 "
"1983,623 ";"1158,756 "
"1986,413 ";"1166,538 "
"1989,203 ";"1180,399 "
"1991,993 ";"1189,569 "
"1994,783 ";"1191,350 "
"1997,573 ";"1192,468 "
"2000,363 ";"1192,345 "
"2003,153 ";"1200,513 "
"2005,942 ";"1213,129 "
"2008,732 ";"1221,240 "
"2011,522 ";"1219,427 "
"2014,312 ";"1213,816 "
"2017,102 ";"1212,761 "
"2019,892 ";"1211,061 "
"2022,682 ";"1207,725 "
"2025,472 ";"1201,564 "
"2028,262 ";"1201,525 "
"2031,052 ";"1202,934 "
"2033,841 ";"1204,174 "
"2036,631 ";"1202,629 "
"2039,421 ";"1203,403 "
"2042,211 ";"1203,413 "
"2045,001 ";"1206,756 "
"2047,791 ";"1212,237 "
"2050,581 ";"1217,450 "
"2053,371 ";"1217,168 "
"2056,161 ";"1219,057 "
"2058,951 ";"1218,100 "
"2061,741 ";"1217,959 "
"2064,530 ";"1216,739 "
"2067,320 ";"1216,216 "
"2070,110 ";"1217,439 "
"2072,900 ";"1219,455 "
"2075,690 ";"1220,854 "
"2078,480 ";"1220,362 "
"2081,270 ";"1220,990 "
"2084,060 ";"1222,174 "
"2086,850 ";"1222,152 "
"2089,640 ";"1220,036 "
"2092,430 ";"1223,481 "
"2095,219 ";"1218,487 "
"2098,009 ";"1218,216 "
"2100,799 ";"1222,228 "
"2103,589 ";"1224,745 "
"2106,379 ";"1225,352 "
"2109,169 ";"1225,528 "
"2111,959 ";"1224,427 "
"2114,749 ";"1223,460 "
"2117,539 ";"1224,308 "
"2120,329 ";"1223,047 "
"2123,118 ";"1226,462 "
"2125,908 ";"1221,841 "
"2128,698 ";"1222,433 "
"2131,488 ";"1219,894 "
"2134,278 ";"1216,732 "
"2137,068 ";"1215,520 "
"2139,858 ";"1215,347 "
"2142,648 ";"1217,134 "
"2145,438 ";"1219,350 "
"2148,228 ";"1221,773 "
"2151,018 ";"1224,479 "
"2153,807 ";"1227,958 "
"2156,597 ";"1230,369 "
"2159,387 ";"1231,276 "
"2162,177 ";"1233,770 "
"2164,967 ";"1237,148 "
"2167,757 ";"1240,225 "
"2170,547 ";"1244,941 "
"2173,337 ";"1247,531 "
"2176,127 ";"1249,470 "
"2178,917 ";"1248,710 "
"2181,706 ";"1244,655 "
"2184,496 ";"1262,875 "
"2187,286 ";"1277,312 "
"2190,076 ";"1290,700 "
"2192,866 ";"1304,941 "
"2195,656 ";"1323,080 "
"2198,446 ";"1339,936 "
"2201,236 ";"1352,404 "
"2204,026 ";"1361,100 "
"2206,816 ";"1367,182 "
"2209,606 ";"1371,667 "
"2212,395 ";"1374,945 "
"2215,185 ";"1377,338 "
"2217,975 ";"1379,085 "
"2220,765 ";"1380,332 "
"2223,555 ";"1381,208 "
"2226,345 ";"1381,876 "
"2229,135 ";"1382,691 "
"2231,925 ";"1378,689 "
"2234,715 ";"1374,748 "
"2237,505 ";"1372,228 "
"2240,295 ";"1371,816 "
"2243,084 ";"1372,857 "
"2245,874 ";"1376,908 "
"2248,664 ";"1381,097 "
"2251,454 ";"1384,174 "
"2254,244 ";"1381,238 "
"2257,034 ";"1379,402 "
"2259,824 ";"1382,970 "
"2262,614 ";"1384,498 "
"2265,404 ";"1384,063 "
"2268,194 ";"1385,847 "
"2270,983 ";"1379,899 "
"2273,773 ";"1381,893 "
"2276,563 ";"1386,670 "
"2279,353 ";"1394,731 "
"2282,143 ";"1401,301 "
"2284,933 ";"1406,808 "
"2287,723 ";"1411,554 "
"2290,513 ";"1417,424 "
"2293,303 ";"1421,601 "
"2296,093 ";"1422,978 "
"2298,883 ";"1425,269 "
"2301,672 ";"1425,572 "
"2304,462 ";"1427,136 "
"2307,252 ";"1430,307 "
"2310,042 ";"1434,529 "
"2312,832 ";"1435,784 "
"2315,622 ";"1436,554 "
"2318,412 ";"1438,449 "
"2321,202 ";"1438,526 "
"2323,992 ";"1438,200 "
"2326,782 ";"1435,935 "
"2329,572 ";"1435,605 "
"2332,361 ";"1426,037 "
"2335,151 ";"1421,438 "
"2337,941 ";"1416,800 "
"2340,731 ";"1415,920 "
"2343,521 ";"1413,365 "
"2346,311 ";"1408,905 "
"2349,101 ";"1405,755 "
"2351,891 ";"1406,525 "
"2354,681 ";"1410,838 "
"2357,471 ";"1415,636 "
"2360,260 ";"1418,013 "
"2363,050 ";"1421,690 "
"2365,840 ";"1435,388 "
"2368,630 ";"1448,638 "
"2371,420 ";"1454,025 "
"2374,210 ";"1456,920 "
"2377,000 ";"1459,083 "
"2379,790 ";"1458,964 "
"2382,580 ";"1457,293 "
"2385,370 ";"1456,630 "
"2388,160 ";"1456,568 "
"2390,949 ";"1455,479 "
"2393,739 ";"1474,005 "
"2396,529 ";"1501,975 "
"2399,319 ";"1527,790 "
"2402,109 ";"1546,158 "
"2404,899 ";"1560,671 "
"2407,689 ";"1571,256 "
"2410,479 ";"1577,756 "
"2413,269 ";"1582,209 "
"2416,059 ";"1585,389 "
"2418,849 ";"1588,513 "
"2421,638 ";"1590,467 "
"2424,428 ";"1589,215 "
"2427,218 ";"1588,481 "
